edge-id,source,source-id,category,category-overarching,target-id,target
e1438,"Guido Bentivoglio, The history of the warrs of Flanders (1654)",b0035,with a letter to the reader by,preliminary content / preliminaries,p0454,R. Baker
e0380,"Guido Bentivoglio, The history of the warrs of Flanders (1654)",b0035,written by,authorship,p0010,Guido Bentivoglio
e1547,"H. L., Gratiae ludentes Iests, from the vniuersitie (1638)",b0331,printed by,the labor of printing,p0527,Thomas Cotes
e1794,"H. L., Gratiae ludentes Iests, from the vniuersitie (1638)",b0331,with a letter to the reader by,preliminary content / preliminaries,p8126,unidentified writer (89)
e1806,"H. L., Gratiae ludentes Iests, from the vniuersitie (1638)",b0331,written by,authorship,p8137,unidentified writer (100)
e1424,"H. Robinson, Scholae Wintoniensis phrases Latinae (1654)",b0239,contains dedicatory epistle by,preliminary content / preliminaries,p0444,Nicholas Robinson
e1289,"H. Robinson, Scholae Wintoniensis phrases Latinae (1654)",b0239,dedicated to,dedication,p0371,Nicholas Love
e1408,"H. Robinson, Scholae Wintoniensis phrases Latinae (1654)",b0239,dedicated to,dedication,p0431,Robert Wallop
e1412,"H. Robinson, Scholae Wintoniensis phrases Latinae (1654)",b0239,dedicated to,dedication,p0434,Thomas Hussey
e1483,"H. Robinson, Scholae Wintoniensis phrases Latinae (1654)",b0239,written by,authorship,p0494,Hugh Robinson
e1425,"H. Robinson, Scholae Wintoniensis phrases Latinae (1658)",b0240,contains dedicatory epistle by,preliminary content / preliminaries,p0444,Nicholas Robinson
e1290,"H. Robinson, Scholae Wintoniensis phrases Latinae (1658)",b0240,dedicated to,dedication,p0371,Nicholas Love
e1409,"H. Robinson, Scholae Wintoniensis phrases Latinae (1658)",b0240,dedicated to,dedication,p0431,Robert Wallop
e1413,"H. Robinson, Scholae Wintoniensis phrases Latinae (1658)",b0240,dedicated to,dedication,p0434,Thomas Hussey
e1484,"H. Robinson, Scholae Wintoniensis phrases Latinae (1658)",b0240,written by,authorship,p0494,Hugh Robinson
e0463,"Heinrich Nolle, Hermetical physick (1655)",b0205,translated by,authorship,p0044,Henry Vaughan
e0465,"Heinrich Nolle, Hermetical physick (1655)",b0205,with a letter to the reader by,preliminary content / preliminaries,p0044,Henry Vaughan
e0620,"Heinrich Nolle, Hermetical physick (1655)",b0205,written by,authorship,p0088,Heinrich Nolle
e1238,"Henry Hexham, The three parts of the principles of the art military (1641)",b0344,dedicated to,dedication,p0338,Henry Rich
e1703,"Henry Hexham, The three parts of the principles of the art military (1641)",b0344,has engravings by,illustration,p8028,unidentified engraver (22)
e1499,"Henry Hexham, The three parts of the principles of the art military (1641)",b0344,written by,authorship,p0506,Henry Hexham
e1724,"Henry IV Estienne, The art of making devises (1646)",b0104,contains commendatory verses by,preliminary content / preliminaries,p8058,unidentified writer (21)
e1644,"Henry IV Estienne, The art of making devises (1646)",b0104,printed by,the labor of printing,p8000,printer only identified by initials
e1645,"Henry IV Estienne, The art of making devises (1646)",b0104,printed by,the labor of printing,p8000,printer only identified by initials
e0717,"Henry IV Estienne, The art of making devises (1646)",b0104,translated by,authorship,p0129,Thomas Blount
e0402,"Henry IV Estienne, The art of making devises (1646)",b0104,with a letter to the reader by,preliminary content / preliminaries,p0026,Henry Estienne
e0838,"Henry IV Estienne, The art of making devises (1646)",b0104,with an imprimatur by,the labor of printing,p0154,Nathanael Brent
e0403,"Henry IV Estienne, The art of making devises (1646)",b0104,written by,authorship,p0026,Henry Estienne
e1068,"Henry King, The Psalmes of David  (1651)",b0153,has a frontispiece engraved by,illustration,p0256,Robert Vaughan
e1125,"Henry King, The Psalmes of David  (1651)",b0153,printed by,the labor of printing,p0277,Edward Griffin
e0449,"Henry King, The Psalmes of David  (1651)",b0153,translated by,authorship,p0042,Henry King
e0912,"Henry King, The Psalmes of David  (1651)",b0153,with an imprimatur by,the labor of printing,p0176,John Downham
e1069,"Henry King, The Psalmes of David  (1654)",b0155,has a frontispiece engraved by,illustration,p0256,Robert Vaughan
e1126,"Henry King, The Psalmes of David  (1654)",b0155,printed by,the labor of printing,p0277,Edward Griffin
e1472,"Henry King, The Psalmes of David  (1654)",b0155,printed by,the labor of printing,p0485,Sarah Griffin
e0913,"Henry King, The Psalmes of David  (1654)",b0155,with an imprimatur by,the labor of printing,p0176,John Downham
e0450,"Henry King, The Psalmes of David  (1654)",b0155,written by,authorship,p0042,Henry King
e1118,"Henry Lawes, Choice Psalmes put into musick (1648)",b0172,contains commendatory verses by,preliminary content / preliminaries,p0271,A. Tounshend
e1394,"Henry Lawes, Choice Psalmes put into musick (1648)",b0172,contains commendatory verses by,preliminary content / preliminaries,p0422,Francis Sambrooke
e1465,"Henry Lawes, Choice Psalmes put into musick (1648)",b0172,contains commendatory verses by,preliminary content / preliminaries,p0478,J. Harington
e0555,"Henry Lawes, Choice Psalmes put into musick (1648)",b0172,contains commendatory verses by,preliminary content / preliminaries,p0060,John Milton
e0782,"Henry Lawes, Choice Psalmes put into musick (1648)",b0172,dedicated to,dedication,p0146,King Charles I
e1052,"Henry Lawes, Choice Psalmes put into musick (1648)",b0172,printed by,the labor of printing,p0241,James Young
e1054,"Henry Lawes, Choice Psalmes put into musick (1648)",b0172,printed for,the labor of printing,p0242,Richard Wodenothe
e0454,"Henry Lawes, Choice Psalmes put into musick (1648)",b0172,set to music by,music,p0043,Henry Lawes
e1051,"Henry Lawes, Choice Psalmes put into musick (1648)",b0172,set to music by,music,p0240,William Lawes
e0460,"Henry Lawes, Choice Psalmes put into musick (1648)",b0172,with a letter to the reader by,preliminary content / preliminaries,p0043,Henry Lawes
e1050,"Henry Lawes, Choice Psalmes put into musick (1648)",b0172,written by,authorship,p0239,George Sandys
e1406,"Henry Valentine, Private devotions digested into six letanies (1654)",b0304,dedicated to,dedication,p0430,Thomas Coventry
e1157,"Henry Valentine, Private devotions digested into six letanies (1654)",b0304,has a frontispiece engraved by,illustration,p0297,Thomas Cecil
e1414,"Henry Valentine, Private devotions digested into six letanies (1654)",b0304,printed by,the labor of printing,p0435,Thomas Maxey
e1215,"Henry Valentine, Private devotions digested into six letanies (1654)",b0304,printed for,the labor of printing,p0329,George Badger
e0759,"Henry Valentine, Private devotions digested into six letanies (1654)",b0304,written by,authorship,p0138,Henry Valentine
e1207,"Henry Vaughan, Olor Iscanus (1651)",b0305,contains commendatory verses by,preliminary content / preliminaries,p0323,Eugenius Philalethes
e1470,"Henry Vaughan, Olor Iscanus (1651)",b0305,contains commendatory verses by,preliminary content / preliminaries,p0483,J. Rowland
e1471,"Henry Vaughan, Olor Iscanus (1651)",b0305,contains commendatory verses by,preliminary content / preliminaries,p0484,T. Powell
e1274,"Henry Vaughan, Olor Iscanus (1651)",b0305,dedicated to,dedication,p0359,Kildare Digby
e1071,"Henry Vaughan, Olor Iscanus (1651)",b0305,has a frontispiece engraved by,illustration,p0256,Robert Vaughan
e1363,"Henry Vaughan, Olor Iscanus (1651)",b0305,printed by,the labor of printing,p0407,Thomas Warren
e0467,"Henry Vaughan, Olor Iscanus (1651)",b0305,written by,authorship,p0044,Henry Vaughan
e1694,"Henry Wotton, The state of Christendom (1657)",b0315,has a frontispiece engraved by,illustration,p8021,unidentified engraver (15)
e0471,"Henry Wotton, The state of Christendom (1657)",b0315,written by,authorship,p0045,Henry Wotton
e1214,"Hippocrates , The aphorismes of Hippocrates (1655)",b0130,written by,authorship,p0328,Galen
e0473,"Hippocrates , The aphorismes of Hippocrates (1655)",b0130,written by,authorship,p0047,Hippocrates
e1240,"Hippocrates , The aphorismes of Hippocrates (1655)",b0130,written by,authorship,p0340,Jan van Heurne
e1282,"Hippocrates , The aphorismes of Hippocrates (1655)",b0130,written by,authorship,p0364,Leonhart Fuchsius
e0940,"Honoré d'Urfé, Astrea a romance (1657)",b0301,printed by,the labor of printing,p0184,William Wilson
e1248,"Honoré d'Urfé, Astrea a romance (1657)",b0301,translated by,authorship,p0344,John Davies
e1250,"Honoré d'Urfé, Astrea a romance (1657)",b0301,with a letter to the reader by,preliminary content / preliminaries,p0344,John Davies
e0758,"Honoré d'Urfé, Astrea a romance (1657)",b0301,written by,authorship,p0137,Honoré d'Urfé
e1727,"Hugo Grotius, Politick maxims and observations  (1655)",b0124,contains commendatory verses by,preliminary content / preliminaries,p8061,unidentified writer (24)
e1670,"Hugo Grotius, Politick maxims and observations  (1655)",b0124,translated by,authorship,p8032,unidentified translator (3)
e1800,"Hugo Grotius, Politick maxims and observations  (1655)",b0124,with a letter to the reader by,preliminary content / preliminaries,p8114,unidentified writer (77)
e0448,"Hugo Grotius, Politick maxims and observations  (1655)",b0124,written by,authorship,p0039,Hugo Grotius
e1726,"Hugo Grotius, Politick maxims and observations (1654)",b0123,contains commendatory verses by,preliminary content / preliminaries,p8060,unidentified writer (23)
e1669,"Hugo Grotius, Politick maxims and observations (1654)",b0123,translated by,authorship,p8031,unidentified translator (2)
e1779,"Hugo Grotius, Politick maxims and observations (1654)",b0123,with a letter to the reader by,preliminary content / preliminaries,p8113,unidentified writer (76)
e0447,"Hugo Grotius, Politick maxims and observations (1654)",b0123,written by,authorship,p0039,Hugo Grotius
e1613,"Humphrey Sydenham, Fiue sermons preached vpon seuerall occasions (1627)",b0365,dedicated to,dedication,p0580,Henry Danvers
e1508,"Humphrey Sydenham, Fiue sermons preached vpon seuerall occasions (1627)",b0365,printed by,the labor of printing,p0511,John Haviland
e0900,"Humphrey Sydenham, Fiue sermons preached vpon seuerall occasions (1627)",b0365,printed for,the labor of printing,p0172,Nicholas Fussell
e1500,"Humphrey Sydenham, Fiue sermons preached vpon seuerall occasions (1627)",b0365,written by,authorship,p0507,Humphrey Sydenham
e1264,"Isaac Allen, Excommunicatio excommunicata (1658)",b0001,printed for,the labor of printing,p0351,John Meacock
e0370,"Isaac Allen, Excommunicatio excommunicata (1658)",b0001,written by,authorship,p0003,Isaac Allen
e0371,"Isaac Allen, Excommunicatio excommunicata (1658)",b0002,written by,authorship,p0003,Isaac Allen
e1538,"Isaac Wake, Divine meditations (1641)",b0367,printed by,the labor of printing,p0524,Thomas Badger
e1552,"Isaac Wake, Divine meditations (1641)",b0367,with an imprimatur by,the labor of printing,p0529,Thomas Wykes
e1597,"Isaac Wake, Divine meditations (1641)",b0367,written by,authorship,p0562,Isaac Wake
e1820,"J. G., The Academy of complements  (1650)",b0379,dedicated to,dedication,p8004,group of people
e0828,"J. G., The Academy of complements  (1650)",b0379,has a frontispiece engraved by,illustration,p0153,William Marshall
e1832,"J. G., The Academy of complements  (1650)",b0379,with a letter to the reader by,preliminary content / preliminaries,p8006,pseudonym
e1813,"J. G., The Academy of complements  (1650)",b0379,written by,authorship,p8144,unidentified writer (107)
e1814,"J. G., The Academy of complements (1639)",b0332,dedicated to,dedication,p8004,group of people
e0821,"J. G., The Academy of complements (1639)",b0332,has a frontispiece engraved by,illustration,p0153,William Marshall
e1658,"J. G., The Academy of complements (1639)",b0332,printed by,the labor of printing,p8000,printer only identified by initials
e1807,"J. G., The Academy of complements (1639)",b0332,written by,authorship,p8138,unidentified writer (101)
e1816,"J. G., The Academy of complements (1641)",b0343,dedicated to,dedication,p8004,group of people
e0823,"J. G., The Academy of complements (1641)",b0343,has a frontispiece engraved by,illustration,p0153,William Marshall
e1531,"J. G., The Academy of complements (1641)",b0343,printed by,the labor of printing,p0524,Thomas Badger
e1796,"J. G., The Academy of complements (1641)",b0343,with a letter to the reader by,preliminary content / preliminaries,p8128,unidentified writer (91)
e1809,"J. G., The Academy of complements (1641)",b0343,written by,authorship,p8140,unidentified writer (103)
e1637,"Jacques Gaffarel, Vnheard-of curiosities concerning the talismanical sculpture of the Persians (1650)",b0114,dedicated to,dedication,p0602,Bishop of Nantes
e0865,"Jacques Gaffarel, Vnheard-of curiosities concerning the talismanical sculpture of the Persians (1650)",b0114,dedicated to,dedication,p0163,Edward Bysshe
e1646,"Jacques Gaffarel, Vnheard-of curiosities concerning the talismanical sculpture of the Persians (1650)",b0114,printed by,the labor of printing,p8000,printer only identified by initials
e1058,"Jacques Gaffarel, Vnheard-of curiosities concerning the talismanical sculpture of the Persians (1650)",b0114,translated by,authorship,p0246,Edmund Chilmead
e0433,"Jacques Gaffarel, Vnheard-of curiosities concerning the talismanical sculpture of the Persians (1650)",b0114,written by,authorship,p0032,Jacques Gaffarel
e1379,"James Howell, A fourth volume of familiar letters (1655)",b0144,dedicated to,dedication,p0416,Thomas Wriothesley
e0487,"James Howell, A fourth volume of familiar letters (1655)",b0144,with a letter to the reader by,preliminary content / preliminaries,p0050,James Howell
e0502,"James Howell, A fourth volume of familiar letters (1655)",b0144,written by,authorship,p0050,James Howell
e0002,"James Howell, A German diet, or, The ballance of Europe (1653)",b0142,contains advertisement to the reader by,preliminary content / preliminaries,p0001,Humphrey Moseley
e1378,"James Howell, A German diet, or, The ballance of Europe (1653)",b0142,dedicated to,dedication,p0415,John Holles
e1172,"James Howell, A German diet, or, The ballance of Europe (1653)",b0142,has engravings by,illustration,p0304,Abraham Bosse
e0486,"James Howell, A German diet, or, The ballance of Europe (1653)",b0142,with a letter to the reader by,preliminary content / preliminaries,p0050,James Howell
e0501,"James Howell, A German diet, or, The ballance of Europe (1653)",b0142,written by,authorship,p0050,James Howell
e1015,"James Howell, A new volume of letters partly. philosophicall, politicall, historicall: / by Iames Howell Esq. (1647)",b0136,dedicated to,dedication,p0213,John Lovelace
e1355,"James Howell, A new volume of letters partly. philosophicall, politicall, historicall: / by Iames Howell Esq. (1647)",b0136,printed by,the labor of printing,p0407,Thomas Warren
e0357,"James Howell, A new volume of letters partly. philosophicall, politicall, historicall: / by Iames Howell Esq. (1647)",b0136,with a letter to the reader by,preliminary content / preliminaries,p0001,Humphrey Moseley
e0495,"James Howell, A new volume of letters partly. philosophicall, politicall, historicall: / by Iames Howell Esq. (1647)",b0136,written by,authorship,p0050,James Howell
e0001,"James Howell, Ah, ha, tumulus, thalamus two counter-poems (1653)",b0141,contains advertisement to the reader by,preliminary content / preliminaries,p0001,Humphrey Moseley
e0869,"James Howell, Ah, ha, tumulus, thalamus two counter-poems (1653)",b0141,dedicated to,dedication,p0165,Edward Sackville
e0990,"James Howell, Ah, ha, tumulus, thalamus two counter-poems (1653)",b0141,dedicated to,dedication,p0209,Henry Pierrepont
e0500,"James Howell, Ah, ha, tumulus, thalamus two counter-poems (1653)",b0141,written by,authorship,p0050,James Howell
e0506,"James Howell, Angliae suspiria, & lachrymae (1646)",b0354,written by,authorship,p0050,James Howell
e0470,"James Howell, Dendrologia Dodona's grove (1640)",b0338,contains commendatory verses by,preliminary content / preliminaries,p0045,Henry Wotton
e1768,"James Howell, Dendrologia Dodona's grove (1640)",b0338,contains commendatory verses by,preliminary content / preliminaries,p8102,unidentified writer (65)
e1526,"James Howell, Dendrologia Dodona's grove (1640)",b0338,printed by,the labor of printing,p0524,Thomas Badger
e0489,"James Howell, Dendrologia Dodona's grove (1640)",b0338,with a letter to the reader by,preliminary content / preliminaries,p0050,James Howell
e0503,"James Howell, Dendrologia Dodona's grove (1640)",b0338,written by,authorship,p0050,James Howell
e0468,"James Howell, Dendrologia Dodona's grove (1645)",b0131,contains commendatory verses by,preliminary content / preliminaries,p0045,Henry Wotton
e1728,"James Howell, Dendrologia Dodona's grove (1645)",b0131,contains commendatory verses by,preliminary content / preliminaries,p8062,unidentified writer (25)
e0777,"James Howell, Dendrologia Dodona's grove (1645)",b0131,dedicated to,dedication,p0146,King Charles I
e0797,"James Howell, Dendrologia Dodona's grove (1645)",b0131,dedicated to,dedication,p0150,Queen Henrietta Maria
e1568,"James Howell, Dendrologia Dodona's grove (1645)",b0131,has engravings by,illustration,p0539,Matthäus Merian
e1649,"James Howell, Dendrologia Dodona's grove (1645)",b0131,printed by,the labor of printing,p8000,printer only identified by initials
e0482,"James Howell, Dendrologia Dodona's grove (1645)",b0131,with a letter to the reader by,preliminary content / preliminaries,p0050,James Howell
e0490,"James Howell, Dendrologia Dodona's grove (1645)",b0131,written by,authorship,p0050,James Howell
e1729,"James Howell, Dendrologia Dodona's grove (1649)",b0138,contains commendatory verses by,preliminary content / preliminaries,p8063,unidentified writer (26)
e0780,"James Howell, Dendrologia Dodona's grove (1649)",b0138,dedicated to,dedication,p0146,King Charles I
e0798,"James Howell, Dendrologia Dodona's grove (1649)",b0138,dedicated to,dedication,p0150,Queen Henrietta Maria
e1569,"James Howell, Dendrologia Dodona's grove (1649)",b0138,has engravings by,illustration,p0539,Matthäus Merian
e1653,"James Howell, Dendrologia Dodona's grove (1649)",b0138,printed by,the labor of printing,p8000,printer only identified by initials
e0484,"James Howell, Dendrologia Dodona's grove (1649)",b0138,with a letter to the reader by,preliminary content / preliminaries,p0050,James Howell
e0497,"James Howell, Dendrologia Dodona's grove (1649)",b0138,written by,authorship,p0050,James Howell
e1570,"James Howell, Dendrologia Dodona's grove (1650)",b0139,has engravings by,illustration,p0539,Matthäus Merian
e1654,"James Howell, Dendrologia Dodona's grove (1650)",b0139,printed by,the labor of printing,p8000,printer only identified by initials
e0485,"James Howell, Dendrologia Dodona's grove (1650)",b0139,with a letter to the reader by,preliminary content / preliminaries,p0050,James Howell
e0498,"James Howell, Dendrologia Dodona's grove (1650)",b0139,written by,authorship,p0050,James Howell
e1665,"James Howell, Epistolae Ho-elianae  (1650)",b0378,printed by,the labor of printing,p8000,printer only identified by initials
e0507,"James Howell, Epistolae Ho-elianae  (1650)",b0378,written by,authorship,p0050,James Howell
e0790,"James Howell, Epistolae Ho-elianae  (1655)",b0384,dedicated to,dedication,p0146,King Charles I
e0829,"James Howell, Epistolae Ho-elianae  (1655)",b0384,has a frontispiece engraved by,illustration,p0153,William Marshall
e0508,"James Howell, Epistolae Ho-elianae  (1655)",b0384,written by,authorship,p0050,James Howell
e0778,"James Howell, Epistolae Ho-Elianae (1645)",b0134,dedicated to,dedication,p0146,King Charles I
e0805,"James Howell, Epistolae Ho-Elianae (1645)",b0134,has a frontispiece engraved by,illustration,p0153,William Marshall
e0483,"James Howell, Epistolae Ho-Elianae (1645)",b0134,with a letter to the reader by,preliminary content / preliminaries,p0050,James Howell
e0493,"James Howell, Epistolae Ho-Elianae (1645)",b0134,written by,authorship,p0050,James Howell
e0791,"James Howell, Epistolae Ho-Elianae (1655)",b0385,dedicated to,dedication,p0146,King Charles I
e0830,"James Howell, Epistolae Ho-Elianae (1655)",b0385,has a frontispiece engraved by,illustration,p0153,William Marshall
e1629,"James Howell, Epistolae Ho-Elianae (1655)",b0385,sold by,the labor of printing,p0595,Joseph Nevill
e0509,"James Howell, Epistolae Ho-Elianae (1655)",b0385,written by,authorship,p0050,James Howell
e0781,"James Howell, Instructions and directions for forren travell (1650)",b0140,dedicated to,dedication,p0146,King Charles I
e0858,"James Howell, Instructions and directions for forren travell (1650)",b0140,has a frontispiece engraved by,illustration,p0159,Wenceslaus Hollar
e1523,"James Howell, Instructions and directions for forren travell (1650)",b0140,printed by,the labor of printing,p0524,Thomas Badger
e0930,"James Howell, Instructions and directions for forren travell (1650)",b0140,printed by,the labor of printing,p0184,William Wilson
e0499,"James Howell, Instructions and directions for forren travell (1650)",b0140,written by,authorship,p0050,James Howell
e1188,"James Howell, Instructions for forreine travell (1642)",b0350,dedicated to,dedication,p0311,King Charles II
e0860,"James Howell, Instructions for forreine travell (1642)",b0350,has a frontispiece engraved by,illustration,p0159,Wenceslaus Hollar
e1535,"James Howell, Instructions for forreine travell (1642)",b0350,printed by,the labor of printing,p0524,Thomas Badger
e0505,"James Howell, Instructions for forreine travell (1642)",b0350,written by,authorship,p0050,James Howell
e0779,"James Howell, Lustra Ludovici (1646)",b0135,dedicated to,dedication,p0146,King Charles I
e1679,"James Howell, Lustra Ludovici (1646)",b0135,has a frontispiece engraved by,illustration,p8008,unidentified engraver (2)
e0494,"James Howell, Lustra Ludovici (1646)",b0135,written by,authorship,p0050,James Howell
e0801,"James Howell, The pre-eminance and pedigree of Parlement (1649)",b0137,dedicated to,dedication,p0151,William Spring
e1652,"James Howell, The pre-eminance and pedigree of Parlement (1649)",b0137,printed by,the labor of printing,p8000,printer only identified by initials
e0496,"James Howell, The pre-eminance and pedigree of Parlement (1649)",b0137,written by,authorship,p0050,James Howell
e0799,"James Howell, The pre-eminence and pedigree of Parlement (1645)",b0132,dedicated to,dedication,p0151,William Spring
e1650,"James Howell, The pre-eminence and pedigree of Parlement (1645)",b0132,printed by,the labor of printing,p8000,printer only identified by initials
e0491,"James Howell, The pre-eminence and pedigree of Parlement (1645)",b0132,written by,authorship,p0050,James Howell
e1534,"James Howell, The vote, or, A poeme royall (1642)",b0349,printed by,the labor of printing,p0524,Thomas Badger
e0504,"James Howell, The vote, or, A poeme royall (1642)",b0349,written by,authorship,p0050,James Howell
e0512,"James Shirley, Narcissus, or, The self-lover (1646)",b0256,written by,authorship,p0051,James Shirley
e1203,"James Shirley, Poems, &c. (1646)",b0258,contains commendatory verses by,preliminary content / preliminaries,p0320,Edward Powel
e1423,"James Shirley, Poems, &c. (1646)",b0258,contains commendatory verses by,preliminary content / preliminaries,p0443,Fra. Tuckyr
e1027,"James Shirley, Poems, &c. (1646)",b0258,contains commendatory verses by,preliminary content / preliminaries,p0224,George Buck
e1217,"James Shirley, Poems, &c. (1646)",b0258,contains commendatory verses by,preliminary content / preliminaries,p0330,George Hill
e0918,"James Shirley, Poems, &c. (1646)",b0258,contains commendatory verses by,preliminary content / preliminaries,p0179,Thomas May
e0736,"James Shirley, Poems, &c. (1646)",b0258,contains commendatory verses by,preliminary content / preliminaries,p0132,Thomas Stanley
e1025,"James Shirley, Poems, &c. (1646)",b0258,dedicated to,dedication,p0223,Bernardo Hyde
e0914,"James Shirley, Poems, &c. (1646)",b0258,printed by,the labor of printing,p0177,Ruth Raworth
e0917,"James Shirley, Poems, &c. (1646)",b0258,printed by,the labor of printing,p0178,Susan Islip
e0513,"James Shirley, Poems, &c. (1646)",b0258,written by,authorship,p0051,James Shirley
e0738,"James Shirley, Six new playes (1653)",b0265,dedicated to,dedication,p0132,Thomas Stanley
e0834,"James Shirley, Six new playes (1653)",b0265,has engravings by,illustration,p0153,William Marshall
e0691,"James Shirley, Six new playes (1653)",b0265,printed for,the labor of printing,p0117,Humphrey Robinson
e0520,"James Shirley, Six new playes (1653)",b0265,written by,authorship,p0051,James Shirley
e0737,"James Shirley, The brothers, a comedie (1652)",b0261,dedicated to,dedication,p0132,Thomas Stanley
e0687,"James Shirley, The brothers, a comedie (1652)",b0261,printed for,the labor of printing,p0117,Humphrey Robinson
e0516,"James Shirley, The brothers, a comedie (1652)",b0261,written by,authorship,p0051,James Shirley
e1755,"James Shirley, The cardinal, a tragedie, as it was acted at the private house in Black Fryers (1652)",b0260,contains commendatory verses by,preliminary content / preliminaries,p8089,unidentified writer (52)
e1824,"James Shirley, The cardinal, a tragedie, as it was acted at the private house in Black Fryers (1652)",b0260,dedicated to,dedication,p8002,unidentified dedicatee (2)
e0686,"James Shirley, The cardinal, a tragedie, as it was acted at the private house in Black Fryers (1652)",b0260,printed for,the labor of printing,p0117,Humphrey Robinson
e0515,"James Shirley, The cardinal, a tragedie, as it was acted at the private house in Black Fryers (1652)",b0260,written by,authorship,p0051,James Shirley
e1320,"James Shirley, The court secret, a tragi-comedy (1653)",b0267,dedicated to,dedication,p0390,William Wentworth
e0692,"James Shirley, The court secret, a tragi-comedy (1653)",b0267,printed for,the labor of printing,p0117,Humphrey Robinson
e0521,"James Shirley, The court secret, a tragi-comedy (1653)",b0267,written by,authorship,p0051,James Shirley
e1124,"James Shirley, The doubtful heir. A tragi-comedie (1652)",b0262,dedicated to,dedication,p0276,Edmund Bowier
e0688,"James Shirley, The doubtful heir. A tragi-comedie (1652)",b0262,printed for,the labor of printing,p0117,Humphrey Robinson
e0517,"James Shirley, The doubtful heir. A tragi-comedie (1652)",b0262,written by,authorship,p0051,James Shirley
e1369,"James Shirley, The gentleman of Venice a tragi-comedie (1655)",b0270,dedicated to,dedication,p0410,Thomas Nightingale
e0524,"James Shirley, The gentleman of Venice a tragi-comedie (1655)",b0270,written by,authorship,p0051,James Shirley
e1151,"James Shirley, The imposture a tragi-comedie (1652)",b0263,dedicated to,dedication,p0293,Robert Bolles
e0689,"James Shirley, The imposture a tragi-comedie (1652)",b0263,printed for,the labor of printing,p0117,Humphrey Robinson
e0518,"James Shirley, The imposture a tragi-comedie (1652)",b0263,written by,authorship,p0051,James Shirley
e1367,"James Shirley, The polititian, a tragedy (1655)",b0271,dedicated to,dedication,p0409,Walter Moyle
e0525,"James Shirley, The polititian, a tragedy (1655)",b0271,written by,authorship,p0051,James Shirley
e1170,"James Shirley, The sisters, a comedie (1652)",b0264,dedicated to,dedication,p0302,William Paulet
e0690,"James Shirley, The sisters, a comedie (1652)",b0264,printed for,the labor of printing,p0117,Humphrey Robinson
e0519,"James Shirley, The sisters, a comedie (1652)",b0264,written by,authorship,p0051,James Shirley
e0514,"James Shirley, The triumph of beautie As it was personated by some young gentlemen, for whom it was intended, at a private recreation (1646)",b0259,written by,authorship,p0051,James Shirley
e1056,"Jean-François Senault, The use of passions (1649)",b0253,dedicated to,dedication,p0244,Jesus Christ
e0833,"Jean-François Senault, The use of passions (1649)",b0253,has engravings by,illustration,p0153,William Marshall
e1666,"Jean-François Senault, The use of passions (1649)",b0253,printed for,the labor of printing,p8000,printer only identified by initials
e0881,"Jean-François Senault, The use of passions (1649)",b0253,translated by,authorship,p0168,Henry Carey
e0886,"Jean-François Senault, The use of passions (1649)",b0253,with a letter to the reader by,preliminary content / preliminaries,p0168,Henry Carey
e0702,"Jean-François Senault, The use of passions (1649)",b0253,written by,authorship,p0121,Jean-François Senault
e1340,"Jean-Pierre Camus, Elise, or, Innocencie guilty a new romance (1655)",b0057,dedicated to,dedication,p0396,Frances Cranfield
e1102,"Jean-Pierre Camus, Elise, or, Innocencie guilty a new romance (1655)",b0057,printed by,the labor of printing,p0269,Thomas Newcomb
e1254,"Jean-Pierre Camus, Elise, or, Innocencie guilty a new romance (1655)",b0057,translated by,authorship,p0347,John Jennings
e1255,"Jean-Pierre Camus, Elise, or, Innocencie guilty a new romance (1655)",b0057,with a letter to the reader by,preliminary content / preliminaries,p0347,John Jennings
e0385,"Jean-Pierre Camus, Elise, or, Innocencie guilty a new romance (1655)",b0057,written by,authorship,p0016,Traiano Boccalini
e1638,"Jean-Puget de la Serre, The secretary in fashion (1654)",b0169,dedicated to,dedication,p0603,Abbot of Dorak
e1392,"Jean-Puget de la Serre, The secretary in fashion (1654)",b0169,dedicated to,dedication,p0421,Thomas Berney
e0999,"Jean-Puget de la Serre, The secretary in fashion (1654)",b0169,has a frontispiece engraved by,illustration,p0211,Thomas Cross
e1260,"Jean-Puget de la Serre, The secretary in fashion (1654)",b0169,translated by,authorship,p0350,John Massinger
e1388,"Jean-Puget de la Serre, The secretary in fashion (1654)",b0169,with a letter to the reader by,preliminary content / preliminaries,p0420,Jean Puget de la Serre
e1262,"Jean-Puget de la Serre, The secretary in fashion (1654)",b0169,with a letter to the reader by,preliminary content / preliminaries,p0350,John Massinger
e1780,"Jean-Puget de la Serre, The secretary in fashion (1654)",b0169,with a letter to the reader by,preliminary content / preliminaries,p8115,unidentified writer (78)
e1390,"Jean-Puget de la Serre, The secretary in fashion (1654)",b0169,written by,authorship,p0420,Jean Puget de la Serre
e1802,"Jean-Puget de la Serre, The secretary in fashion (1654)",b0169,written by,authorship,p8133,unidentified writer (96)
e1639,"Jean-Puget de la Serre, The secretary in fashion (1658)",b0171,dedicated to,dedication,p0603,Abbot of Dorak
e1393,"Jean-Puget de la Serre, The secretary in fashion (1658)",b0171,dedicated to,dedication,p0421,Thomas Berney
e1261,"Jean-Puget de la Serre, The secretary in fashion (1658)",b0171,translated by,authorship,p0350,John Massinger
